year,date,week,month,day,start,end,action,duration,string-start,string-end
2022,2022-10-31,44,10,31,12:00,13:00,Lunch,01:00:00,2022-10-31 12:00:00+02:00,2022-10-31 13:00:00+02:00
2022,2022-10-31,44,10,31,13:00,15:00,Vainu,02:00:00,2022-10-31 13:00:00+02:00,2022-10-31 15:00:00+02:00
2022,2022-10-31,44,10,31,15:00,18:00,Programming,03:00:00,2022-10-31 15:00:00+02:00,2022-10-31 18:00:00+02:00
2022,2022-11-01,44,11,01,08:00,10:00,Vainu,02:00:00,2022-11-01 08:00:00+02:00,2022-11-01 10:00:00+02:00
2022,2022-11-01,44,11,01,10:00,12:00,Admin Stuff,02:00:00,2022-11-01 10:00:00+02:00,2022-11-01 12:00:00+02:00
2022,2022-11-01,44,11,01,12:00,13:00,Lunch,01:00:00,2022-11-01 12:00:00+02:00,2022-11-01 13:00:00+02:00
2022,2022-11-01,44,11,01,13:00,13:30,Uncle Sam,00:30:00,2022-11-01 13:00:00+02:00,2022-11-01 13:30:00+02:00
2022,2022-11-01,44,11,01,13:30,16:00,Programming,02:30:00,2022-11-01 13:30:00+02:00,2022-11-01 16:00:00+02:00
2022,2022-11-01,44,11,01,16:00,20:00,Vainu,04:00:00,2022-11-01 16:00:00+02:00,2022-11-01 20:00:00+02:00
2022,2022-11-02,44,11,02,09:45,12:30,Programming,02:45:00,2022-11-02 09:45:00+02:00,2022-11-02 12:30:00+02:00
2022,2022-11-02,44,11,02,12:30,13:30,Lunch,01:00:00,2022-11-02 12:30:00+02:00,2022-11-02 13:30:00+02:00
2022,2022-11-02,44,11,02,13:30,19:30,Programming,06:00:00,2022-11-02 13:30:00+02:00,2022-11-02 19:30:00+02:00
2022,2022-11-03,44,11,03,09:00,13:30,Vainu,04:30:00,2022-11-03 09:00:00+02:00,2022-11-03 13:30:00+02:00
2022,2022-11-03,44,11,03,13:30,15:30,Misc,02:00:00,2022-11-03 13:30:00+02:00,2022-11-03 15:30:00+02:00
2022,2022-11-03,44,11,03,15:30,17:30,Vainu,02:00:00,2022-11-03 15:30:00+02:00,2022-11-03 17:30:00+02:00
2022,2022-11-04,44,11,04,10:00,13:30,Programming,03:30:00,2022-11-04 10:00:00+02:00,2022-11-04 13:30:00+02:00
2022,2022-11-04,44,11,04,13:30,14:30,Lunch,01:00:00,2022-11-04 13:30:00+02:00,2022-11-04 14:30:00+02:00
2022,2022-11-04,44,11,04,14:30,17:00,Programming,02:30:00,2022-11-04 14:30:00+02:00,2022-11-04 17:00:00+02:00
2022,2022-11-04,44,11,04,17:00,20:00,Vainu,03:00:00,2022-11-04 17:00:00+02:00,2022-11-04 20:00:00+02:00
2022,2022-11-07,45,11,07,08:00,10:00,Gym,02:00:00,2022-11-07 08:00:00+02:00,2022-11-07 10:00:00+02:00
2022,2022-11-07,45,11,07,11:00,13:00,Programming,02:00:00,2022-11-07 11:00:00+02:00,2022-11-07 13:00:00+02:00
2022,2022-11-07,45,11,07,13:00,14:00,Lunch,01:00:00,2022-11-07 13:00:00+02:00,2022-11-07 14:00:00+02:00
2022,2022-11-07,45,11,07,14:00,20:00,Vainu,06:00:00,2022-11-07 14:00:00+02:00,2022-11-07 20:00:00+02:00
2022,2022-11-08,45,11,08,08:00,12:00,Programming,04:00:00,2022-11-08 08:00:00+02:00,2022-11-08 12:00:00+02:00
2022,2022-11-08,45,11,08,12:00,13:30,Think about Hanken Courses,01:30:00,2022-11-08 12:00:00+02:00,2022-11-08 13:30:00+02:00
2022,2022-11-08,45,11,08,13:30,14:30,Lunch,01:00:00,2022-11-08 13:30:00+02:00,2022-11-08 14:30:00+02:00
2022,2022-11-08,45,11,08,14:30,19:30,Programming,05:00:00,2022-11-08 14:30:00+02:00,2022-11-08 19:30:00+02:00
